time, high, low, open
2014-01-01 00:00:00, 750, 746.22, 747
2014-01-01 01:00:00, 750, 745.53, 746.22
2014-01-01 02:00:00, 1028, 900.29, 900.29
2014-01-01 03:00:00, 750, 741.03, 750
2014-01-01 04:00:00, 750.13, 741.03, 741.03
2014-01-01 05:00:00, 897.9, 812.9, 897.9
2014-01-01 06:00:00, 812.9, 812.9, 812.9
2014-01-01 07:00:00, 750.13, 750.12, 750.13
2014-01-01 08:00:00, 967, 718.46, 812.9
2014-01-01 09:00:00, 759.11, 750.13, 750.13
2014-01-01 10:00:00, 1169.16, 912.66, 1169.16
2014-01-01 11:00:00, 759.11, 745.01, 759.11
2014-01-01 12:00:00, 750.13, 745.01, 745.01
2014-01-01 13:00:00, 1043.01, 735.94, 924.9
2014-01-01 14:00:00, 1210.5, 752.68, 838.78
2014-01-01 15:00:00, 759.11, 742.28, 750.13
2014-01-01 16:00:00, 759.11, 744.95, 759.11
2014-01-01 17:00:00, 752.87, 744.29, 745
2014-01-01 18:00:00, 753.99, 745.03, 752.87
2014-01-01 19:00:00, 753.99, 753.99, 753.99
2014-01-01 20:00:00, 753.99, 750.12, 753.99
2014-01-01 21:00:00, 759.11, 750.12, 750.12
2014-01-01 22:00:00, 1049.08, 735, 918.38
2014-01-01 23:00:00, 759.11, 752.74, 759.1
2014-01-02 00:00:00, 1045.17, 695, 753.16
2014-01-02 01:00:00, 759.11, 752.74, 752.74
2014-01-02 02:00:00, 755.01, 750, 755.01
2014-01-02 03:00:00, 750, 750, 750
2014-01-02 04:00:00, 876.57, 864.96, 870.91
2014-01-02 05:00:00, 750.8, 750, 750
2014-01-02 06:00:00, 757, 750.8, 750.8
2014-01-02 07:00:00, 757.01, 755.57, 757
2014-01-02 08:00:00, 907.32, 757.43, 907.32
2014-01-02 09:00:00, 1000, 756.07, 757.43
2014-01-02 10:00:00, 760, 752.11, 757.01
2014-01-02 11:00:00, 770, 760, 760
2014-01-02 12:00:00, 944.25, 689.9, 778.02
2014-01-02 13:00:00, 770, 756.79, 770
2014-01-02 14:00:00, 767.89, 756.79, 756.79
2014-01-02 15:00:00, 786.28, 767.45, 767.49
2014-01-02 16:00:00, 805, 781.43, 786.28
2014-01-02 17:00:00, 817.56, 782.6, 792.68
2014-01-02 18:00:00, 809.99, 782.6, 782.6
2014-01-02 19:00:00, 799.04, 780.1, 799.04
2014-01-02 20:00:00, 1399.52, 659.89, 955.04
2014-01-02 21:00:00, 789, 778.33, 781.26
2014-01-02 22:00:00, 778.34, 771.18, 778.33
2014-01-02 23:00:00, 781, 771.18, 771.18
2014-01-03 00:00:00, 781.53, 781, 781
2014-01-03 01:00:00, 783.06, 781.53, 781.53
2014-01-03 02:00:00, 1403.64, 772.07, 1000.95
2014-01-03 03:00:00, 791.69, 783.06, 783.06
2014-01-03 04:00:00, 798.64, 791.69, 791.69
2014-01-03 05:00:00, 800, 791.65, 798.64
2014-01-03 06:00:00, 817.03, 800, 800
2014-01-03 07:00:00, 819.9, 798.38, 817.03
2014-01-03 08:00:00, 817.07, 805.6, 805.6
2014-01-03 09:00:00, 818.06, 806.11, 817.07
2014-01-03 10:00:00, 811.25, 808.41, 808.41
2014-01-03 11:00:00, 811.36, 805, 811
2014-01-03 12:00:00, 812, 805, 805.6
2014-01-03 13:00:00, 1282.25, 688.84, 995
2014-01-03 14:00:00, 808.52, 794.42, 808.52
2014-01-03 15:00:00, 1194, 730, 831.7
2014-01-03 16:00:00, 802.87, 800.06, 800.06
2014-01-03 17:00:00, 803, 799.99, 802.87
2014-01-03 18:00:00, 808.52, 798.03, 802.87
2014-01-03 19:00:00, 808.52, 808.43, 808.52
2014-01-03 20:00:00, 808.43, 801.22, 808.43
2014-01-03 21:00:00, 1050, 660.08, 881.22
2014-01-03 22:00:00, 804.09, 803.23, 803.23
