time,open,high,low,close,volume
2021-11-30 20:00:00,48.25,48.25,47.86,47.86,191208
2021-11-30 19:00:00,48.18,48.43,48.15,48.29,16736
2021-11-30 18:00:00,48.25,48.25,48.07,48.11,4790
2021-11-30 17:00:00,47.93,48.2,47.93,48.2,10861
2021-11-30 16:00:00,47.77,48.269,47.69,47.89,2977150
2021-11-30 15:00:00,47.36,48.0,47.33,47.77,2459226
2021-11-30 14:00:00,47.35,47.44,46.47,47.37,3420756
2021-11-30 13:00:00,47.68,47.74,47.07,47.34,2215926
2021-11-30 12:00:00,48.45,48.55,47.44,47.7,3841444
2021-11-30 11:00:00,48.64,49.11,48.18,48.45,3428032
2021-11-30 10:00:00,48.9,48.93,48.42,48.7,1376112
2021-11-30 09:00:00,49.15,49.4,48.15,48.9,149079
2021-11-30 08:00:00,49.15,49.4,48.95,49.09,55468
2021-11-30 07:00:00,49.18,49.36,49.05,49.1,5926
2021-11-30 06:00:00,49.45,49.46,48.76,48.76,24579
2021-11-30 05:00:00,49.4,49.4,49.0,49.3,7907
2021-11-29 20:00:00,51.04,51.23,51.03,51.15,19303
2021-11-29 19:00:00,50.37,51.02,50.37,51.0,43582
2021-11-29 18:00:00,50.39,50.39,50.19,50.37,33470
2021-11-29 17:00:00,50.13,50.37,50.13,50.37,91274
2021-11-29 16:00:00,49.805,50.19,49.735,50.16,1581159
2021-11-29 15:00:00,50.96,50.97,49.64,49.81,2573656
2021-11-29 14:00:00,51.24,51.25,50.9,50.95,820687
2021-11-29 13:00:00,51.02,51.275,50.94,51.24,566248
2021-11-29 12:00:00,51.03,51.16,50.76,51.01,1077084
2021-11-29 11:00:00,51.685,51.715,50.27,51.03,2692613
2021-11-29 10:00:00,52.0,52.222,51.61,51.69,3480868
2021-11-29 09:00:00,51.54,52.3,51.0,52.14,208256
2021-11-29 08:00:00,51.34,51.55,51.11,51.53,69992
2021-11-29 07:00:00,51.48,51.74,51.35,51.45,50991
2021-11-29 06:00:00,51.35,51.42,51.1,51.4,54483
2021-11-29 05:00:00,51.23,51.78,51.03,51.35,21065
2021-11-26 17:00:00,49.44,49.89,49.44,49.89,10363
2021-11-26 16:00:00,49.63,49.63,49.63,49.63,0
2021-11-26 14:00:00,49.63,49.63,49.63,49.63,293259
2021-11-26 13:00:00,49.26,49.955,49.21,49.53,4996529
2021-11-26 12:00:00,49.62,50.03,48.56,49.27,5672001
2021-11-26 11:00:00,51.85,51.86,49.6,49.61,5136493
2021-11-26 10:00:00,52.83,52.83,51.8,51.86,2169402
2021-11-26 09:00:00,52.85,54.53,52.72,52.91,29588
2021-11-26 08:00:00,53.0,53.06,52.53,52.88,108634
